"qualityReportID","measureRepID","sampleID","measureSetRepID","qualityFlag","severity","lastEdited","notes"
"noConcern o.04.08.20covN11","o.04.08.20covN11",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.04.08.20covN12","o.04.08.20covN12",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.04.08.20covN23","o.04.08.20covN23",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.04.08.20covN24","o.04.08.20covN24",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.04.08.20nPPMoV5","o.04.08.20nPPMoV5",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.04.24.20covN16","o.04.24.20covN16",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.04.24.20covN17","o.04.24.20covN17",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.04.24.20covN28","o.04.24.20covN28",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.04.24.20covN29","o.04.24.20covN29",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.04.24.20nPPMoV10","o.04.24.20nPPMoV10",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.05.19.20covN111","o.05.19.20covN111",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.05.19.20covN112","o.05.19.20covN112",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.05.19.20covN213","o.05.19.20covN213",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.05.19.20covN214","o.05.19.20covN214",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.05.19.20nPPMoV15","o.05.19.20nPPMoV15",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.02.20covN116","o.06.02.20covN116",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.02.20covN117","o.06.02.20covN117",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.02.20covN218","o.06.02.20covN218",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.02.20covN219","o.06.02.20covN219",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.02.20nPPMoV20","o.06.02.20nPPMoV20",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.10.20covN121","o.06.10.20covN121",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.10.20covN122","o.06.10.20covN122",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.10.20covN223","o.06.10.20covN223",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.10.20covN224","o.06.10.20covN224",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.10.20nPPMoV25","o.06.10.20nPPMoV25",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.16.20covN126","o.06.16.20covN126",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.16.20covN127","o.06.16.20covN127",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.16.20covN228","o.06.16.20covN228",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.16.20covN229","o.06.16.20covN229",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.16.20nPPMoV30","o.06.16.20nPPMoV30",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.17.20covN131","o.06.17.20covN131",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.17.20covN132","o.06.17.20covN132",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.17.20covN233","o.06.17.20covN233",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.17.20covN234","o.06.17.20covN234",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.17.20nPPMoV35","o.06.17.20nPPMoV35",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.19.20covN136","o.06.19.20covN136",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.19.20covN137","o.06.19.20covN137",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.19.20covN238","o.06.19.20covN238",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.19.20covN239","o.06.19.20covN239",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.19.20nPPMoV40","o.06.19.20nPPMoV40",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.21.20covN141","o.06.21.20covN141",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.21.20covN142","o.06.21.20covN142",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.21.20covN243","o.06.21.20covN243",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.21.20covN244","o.06.21.20covN244",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.21.20nPPMoV45","o.06.21.20nPPMoV45",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.23.20covN146","o.06.23.20covN146",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.23.20covN147","o.06.23.20covN147",NA,NA,"noConcern",NA,2024-02-05,NA
"noConcern o.06.23.20covN248","o.06.23.20covN248",NA,NA,"noConcern",NA,2024-02-05,NA
