Source Protocol ID,Protocol ID,Dataset ID,Name,Summary,Reference link,Organization ID,Contact ID,Protocol Version,Last Edited,Notes
NA,settling,Ottawa-1,Delatolla Gravity Settling,Protocol for gravity settling of post-grit wastewater samples (PGS).,10.1016/j.watres.2020.116562,Ottawa-1,delatollaLab,1,25/07/2023,NA
NA,pgsSolids,Ottawa-1,PGS Solids Sample Prep,Protocol for separating the solid fraction of post-grit wastewater samples (PGS).,10.1016/j.watres.2020.116563,Ottawa-1,delatollaLab,1,25/07/2023,NA
NA,liquidPrep,Ottawa-1,Delatolla liquid filtration,Protocol for treating the liquid fraction of post-grit wastewater samples (PGS).,10.1016/j.watres.2020.116563,Ottawa-1,delatollaLab,1,25/07/2023,NA
NA,pgsLiquid,Ottawa-1,PGS Liquid Sample Prep,Protocol for separating the liquid fraction of post-grit wastewater samples (PGS).,10.1016/j.watres.2020.116564,Ottawa-1,delatollaLab,1,25/07/2023,NA
NA,pgsEluate,Ottawa-1,PGS Eluate Sample Prep,Protocol for separating the eluate fraction of post-grit wastewater samples (PGS).,10.1016/j.watres.2020.116565,Ottawa-1,delatollaLab,1,25/07/2023,NA
NA,pegPrecip,Ottawa-1,Full PEG and centrifugation protocol,Full PEG-based solid separation and sample concentration protocol.,10.1016/j.watres.2020.116569,Ottawa-1,delatollaLab,1,25/07/2023,NA
NA,centrifuge1,Ottawa-1,First round centrifugation,First round of centrifuation for solid separation.,10.1016/j.watres.2020.116567,Ottawa-1,delatollaLab,1,25/07/2023,NA
NA,centrifuge2,Ottawa-1,Second round centrifugation,Second round of centrifuation for solid separation.,10.1016/j.watres.2020.116568,Ottawa-1,delatollaLab,1,25/07/2023,NA
NA,primerMixN1,Ottawa-1,N1 primer and probe mix for PCR,"Reactions were comprised of 1.5 μl of RNA template input, 500 nM each of forward and reverse primers along with 125 nM of the probes in a final reaction volume of 10μl. Samples were run in triplicate.",10.1016/j.watres.2020.116569,Ottawa-1,delatollaLab,1,25/07/2023,NA
NA,denatAnelCycle,Ottawa-1,Protocol for a single denaturation and annealing/lengthening cycle,"45 cycles of denaturation, annealing/extension at 95°C/10 s, then 60°C/30 s, respectively.",10.1016/j.watres.2020.116567,Ottawa-1,delatollaLab,1,25/07/2023,NA
NA,pcrThermocycle,Ottawa-1,Full RTqPCR thermocycle protocol for quantification,"Using a CFX Connect qPCR thermocycler (Bio-Rad, Hercules, CA), RT was performed at 50°C, 10 minutes, followed by polymerase activation at 95°C for 10 minutes, and 45 cycles of denaturation, annealing/extension at 95°C/10 s, then 60°C/30 s, respectively.",10.1016/j.watres.2020.116568,Ottawa-1,delatollaLab,1,25/07/2023,NA
